ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION,MEDIA_TYPE
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,6273,Multiple Candidate Social Media Ads,2025-06-17,INTAD,Internet - Display/Banner,237500,1164,"Lander, Brad",1,,79166.68,Oppose,digital_display
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,6273,Multiple Candidate Social Media Ads,2025-06-17,INTAD,Internet - Display/Banner,237500,2899,"Mamdani, Zohran K",1,,79166.66,Oppose,digital_display
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,6273,Multiple Candidate Social Media Ads,2025-06-17,INTAD,Internet - Display/Banner,237500,148,"Stringer, Scott M",1,,79166.66,Oppose,digital_display
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,5753,Multiple Candidates TV Ad,2025-06-09,TVADS,Video (TV/Cable),1084100,1164,"Lander, Brad",1,,361366.68,Oppose,television
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,5753,Multiple Candidates TV Ad,2025-06-09,TVADS,Video (TV/Cable),1084100,2899,"Mamdani, Zohran K",1,,361366.66,Oppose,television
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,5753,Multiple Candidates TV Ad,2025-06-09,TVADS,Video (TV/Cable),1084100,148,"Stringer, Scott M",1,,361366.66,Oppose,television
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,41,7151,Bo at Library,2025-10-17,INTVID,Video (Internet),15132,2899,"Mamdani, Zohran K",1,,15132.0,Oppose,digital_video
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,39,7026,Bo in Bronx,2025-09-29,INTVID,Video (Internet),700,2899,"Mamdani, Zohran K",1,,700.0,Oppose,digital_video
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,38,6993,Bo in Harlem,2025-09-26,INTVID,Video (Internet),700,2899,"Mamdani, Zohran K",1,,700.0,Oppose,digital_video
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,41,7150,Bo in Office,2025-10-17,INTVID,Video (Internet),15082,2899,"Mamdani, Zohran K",1,,15082.32,Oppose,digital_video
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,35,6922,Video on Queensbridge Development,2025-09-02,INTVID,Video (Internet),500,2899,"Mamdani, Zohran K",1,,500.0,Oppose,digital_video
2025,Z169,Committee for Sensible Government,OTHR,5907,5907 175th Place,STE PH,fresh meadows,NY,11365,PD,6477,30 second video opposing Mamdani,2025-06-20,INTVID,Video (Internet),16500,2899,"Mamdani, Zohran K",1,,16500.0,Oppose,digital_video
2025,Z217,Competent New York,OTHR,1900,L St NW Ste 800,,Washington,DC,20036,23,5711,Best of the Boroughs - Digital Video,2025-06-07,INTVID,Video (Internet),374200,2063,"Adams, Adrienne E",1,,374200.0,Support,digital_video
2025,Z217,Competent New York,OTHR,1900,L St NW Ste 800,,Washington,DC,20036,23,5719,Order My Steps - Radio Advertisement,2025-06-07,RADIO,Audio > 30 seconds,135800,2063,"Adams, Adrienne E",1,,135800.0,Support,audio
2025,Z239,Defend and Advance - NY I.E.,OTHR,3425,U.S. Hwy 98 N,,Lakeland,FL,33809,40,7043,Social Media Content,2025-10-07,INTAD,Internet - Display/Banner,2750,2899,"Mamdani, Zohran K",1,,2750.0,Support,digital_display
2025,Z44,Empire State 32BJ SEIU PAC,EMPO,25,West 18th Street,,New York,NY,10011,39,7003,Zohran Static Ad Placement,2025-09-30,INTAD,Internet - Display/Banner,55362,2899,"Mamdani, Zohran K",1,,55362.16,Support,digital_display
