AD,ED,County,Candidate,Tally
23,001,Queens,Andrew M. Cuomo,683
23,001,Queens,Curtis A. Sliwa,351
23,001,Queens,Eric L. Adams,1
23,001,Queens,Irene Estrada,5
23,001,Queens,Jim Walden,2
23,001,Queens,Joseph Hernandez,0
23,001,Queens,Zohran Kwame Mamdani,85
23,002,Queens,Andrew M. Cuomo,649
23,002,Queens,Curtis A. Sliwa,388
23,002,Queens,Eric L. Adams,1
23,002,Queens,Irene Estrada,4
23,002,Queens,Jim Walden,1
23,002,Queens,Joseph Hernandez,1
23,002,Queens,Zohran Kwame Mamdani,81
23,003,Queens,Andrew M. Cuomo,186
23,003,Queens,Curtis A. Sliwa,158
23,003,Queens,Eric L. Adams,0
23,003,Queens,Irene Estrada,0
23,003,Queens,Jim Walden,0
23,003,Queens,Joseph Hernandez,1
23,003,Queens,Zohran Kwame Mamdani,33
23,004,Queens,Andrew M. Cuomo,779
23,004,Queens,Curtis A. Sliwa,232
23,004,Queens,Eric L. Adams,3
23,004,Queens,Irene Estrada,2
23,004,Queens,Jim Walden,0
23,004,Queens,Joseph Hernandez,0
23,004,Queens,Zohran Kwame Mamdani,105
23,005,Queens,Andrew M. Cuomo,751
23,005,Queens,Curtis A. Sliwa,281
23,005,Queens,Eric L. Adams,1
23,005,Queens,Irene Estrada,0
23,005,Queens,Jim Walden,0
23,005,Queens,Joseph Hernandez,0
23,005,Queens,Zohran Kwame Mamdani,85
23,006,Queens,Andrew M. Cuomo,680
23,006,Queens,Curtis A. Sliwa,296
23,006,Queens,Eric L. Adams,2
23,006,Queens,Irene Estrada,1
23,006,Queens,Jim Walden,0
23,006,Queens,Joseph Hernandez,1
23,006,Queens,Zohran Kwame Mamdani,121
23,007,Queens,Andrew M. Cuomo,647
23,007,Queens,Curtis A. Sliwa,374
23,007,Queens,Eric L. Adams,4
23,007,Queens,Irene Estrada,3
23,007,Queens,Jim Walden,1
23,007,Queens,Joseph Hernandez,4
23,007,Queens,Zohran Kwame Mamdani,152
23,008,Queens,Andrew M. Cuomo,415
23,008,Queens,Curtis A. Sliwa,242
23,008,Queens,Eric L. Adams,1
23,008,Queens,Irene Estrada,1
23,008,Queens,Jim Walden,3
23,008,Queens,Joseph Hernandez,0
23,008,Queens,Zohran Kwame Mamdani,180
23,009,Queens,Andrew M. Cuomo,241
23,009,Queens,Curtis A. Sliwa,124
23,009,Queens,Eric L. Adams,1
23,009,Queens,Irene Estrada,0
23,009,Queens,Jim Walden,2
23,009,Queens,Joseph Hernandez,1
23,009,Queens,Zohran Kwame Mamdani,181
23,010,Queens,Andrew M. Cuomo,486
23,010,Queens,Curtis A. Sliwa,316
23,010,Queens,Eric L. Adams,0
23,010,Queens,Irene Estrada,0
23,010,Queens,Jim Walden,3
23,010,Queens,Joseph Hernandez,0
23,010,Queens,Zohran Kwame Mamdani,171
23,011,Queens,Andrew M. Cuomo,238
23,011,Queens,Curtis A. Sliwa,84
23,011,Queens,Eric L. Adams,4
23,011,Queens,Irene Estrada,1
23,011,Queens,Jim Walden,2
23,011,Queens,Joseph Hernandez,0
23,011,Queens,Zohran Kwame Mamdani,279
23,012,Queens,Andrew M. Cuomo,73
23,012,Queens,Curtis A. Sliwa,31
23,012,Queens,Eric L. Adams,2
23,012,Queens,Irene Estrada,0
23,012,Queens,Jim Walden,1
23,012,Queens,Joseph Hernandez,0
23,012,Queens,Zohran Kwame Mamdani,125
23,013,Queens,Andrew M. Cuomo,214
23,013,Queens,Curtis A. Sliwa,99
23,013,Queens,Eric L. Adams,1
23,013,Queens,Irene Estrada,1
23,013,Queens,Jim Walden,0
23,013,Queens,Joseph Hernandez,0
23,013,Queens,Zohran Kwame Mamdani,284
23,014,Queens,Andrew M. Cuomo,275
