AD,ED,County,EDAD Status,Event,Party/Independent Body,Office/Position Title,District Key,VoteFor,Unit Name,Tally
37,071,New York,COMBINED INTO 059/76,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,0
37,071,New York,COMBINED INTO 059/76,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
37,071,New York,COMBINED INTO 059/76,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,0
37,071,New York,COMBINED INTO 059/76,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,0
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,567
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,55
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,22
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),281
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),39
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),1
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),34
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),0
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),1
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),0
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),279
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),0
61,060,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,3
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,878
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,84
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,17
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),337
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),31
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),2
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),53
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),1
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),2
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),1
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),538
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),2
61,061,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,7
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,726
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,61
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,27
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),280
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),31
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),0
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),36
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),3
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),1
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),1
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),452
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),3
61,062,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,5
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,896
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,86
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,33
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),339
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),41
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),4
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),20
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),6
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),0
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),0
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),595
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),2
61,063,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,2
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,479
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,51
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,18
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),199
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),19
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),0
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),27
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),1
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Eric L. Adams (Safe&Affordable/EndAntiSemitism),1
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Joseph Hernandez (Quality of Life),2
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Andrew M. Cuomo (Fight and Deliver),288
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Jim Walden (Integrity),0
61,064,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Scattered,5
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Public Counter,839
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Manually Counted Emergency,0
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Absentee / Military,107
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Affidavit,28
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Democratic),288
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Republican),26
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Irene Estrada (Conservative),0
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Zohran Kwame Mamdani (Working Families),30
61,065,New York,IN-PLAY,General Election 2025 - 11/04/2025,,Mayor,NYC,1,Curtis A. Sliwa (Protect Animals),3
