week_start,candidate,pageviews,attention_share
2024-12-30,Andrew M. Cuomo,9337,0.23326754440752492
2024-12-30,Curtis A. Sliwa,10246,0.25597721537961876
2024-12-30,Eric L. Adams,17449,0.4359307467459465
2024-12-30,Zohran Kwame Mamdani,2995,0.07482449346690984
2025-01-06,Andrew M. Cuomo,15454,0.3311831643914879
2025-01-06,Curtis A. Sliwa,7310,0.15665516576302424
2025-01-06,Eric L. Adams,19303,0.41366821678846194
2025-01-06,Zohran Kwame Mamdani,4596,0.0984934530570259
2025-01-13,Andrew M. Cuomo,18261,0.3745846153846154
2025-01-13,Curtis A. Sliwa,4079,0.08367179487179487
2025-01-13,Eric L. Adams,18651,0.3825846153846154
2025-01-13,Zohran Kwame Mamdani,7759,0.15915897435897436
2025-01-20,Andrew M. Cuomo,16324,0.2744498058138166
2025-01-20,Curtis A. Sliwa,3491,0.05869298407841423
2025-01-20,Eric L. Adams,32288,0.5428470552632021
2025-01-20,Zohran Kwame Mamdani,7376,0.12401015484456698
2025-01-27,Andrew M. Cuomo,23818,0.4349684064428942
2025-01-27,Curtis A. Sliwa,3483,0.0636071441615837
2025-01-27,Eric L. Adams,20311,0.3709229701596114
2025-01-27,Zohran Kwame Mamdani,7146,0.13050147923591074
2025-02-03,Andrew M. Cuomo,17687,0.41650771223360417
2025-02-03,Curtis A. Sliwa,2826,0.0665489226421759
2025-02-03,Eric L. Adams,13218,0.31126810314376546
2025-02-03,Zohran Kwame Mamdani,8734,0.2056752619804545
2025-02-10,Andrew M. Cuomo,24308,0.1079760487553526
2025-02-10,Curtis A. Sliwa,7782,0.03456761606936622
2025-02-10,Eric L. Adams,177918,0.7903111174286171
2025-02-10,Zohran Kwame Mamdani,15116,0.06714521774666406
2025-02-17,Andrew M. Cuomo,30584,0.2114842064501853
2025-02-17,Curtis A. Sliwa,6916,0.047823200752337224
2025-02-17,Eric L. Adams,99334,0.68688111965481
2025-02-17,Zohran Kwame Mamdani,7782,0.05381147314266748
2025-02-24,Andrew M. Cuomo,105199,0.6249346545005228
2025-02-24,Curtis A. Sliwa,7504,0.044577511643379905
2025-02-24,Eric L. Adams,32191,0.19123063397015494
2025-02-24,Zohran Kwame Mamdani,23442,0.1392571998859424
2025-03-03,Andrew M. Cuomo,59227,0.532291404536794
2025-03-03,Curtis A. Sliwa,5848,0.05255778840277528
2025-03-03,Eric L. Adams,27618,0.24821152532623936
2025-03-03,Zohran Kwame Mamdani,18575,0.1669392817341913
2025-03-10,Andrew M. Cuomo,28726,0.28256934880975804
2025-03-10,Curtis A. Sliwa,5210,0.0512492622467047
2025-03-10,Eric L. Adams,17099,0.16819791461735195
2025-03-10,Zohran Kwame Mamdani,50625,0.49798347432618534
2025-03-17,Andrew M. Cuomo,23470,0.2841094795966541
2025-03-17,Curtis A. Sliwa,4737,0.05734242031739883
2025-03-17,Eric L. Adams,17860,0.21619920347661878
2025-03-17,Zohran Kwame Mamdani,36542,0.4423488966093283
2025-03-24,Andrew M. Cuomo,30082,0.3784946777724653
2025-03-24,Curtis A. Sliwa,4939,0.06214298296383905
2025-03-24,Eric L. Adams,11535,0.14513450262965852
2025-03-24,Zohran Kwame Mamdani,32922,0.4142278366340371
2025-03-31,Andrew M. Cuomo,25617,0.2385550920062579
2025-03-31,Curtis A. Sliwa,7373,0.06866013558816957
2025-03-31,Eric L. Adams,43566,0.40570289801087683
2025-03-31,Zohran Kwame Mamdani,30828,0.2870818743946957
2025-04-07,Andrew M. Cuomo,20158,0.28936451200780905
2025-04-07,Curtis A. Sliwa,4835,0.06940556680016652
2025-04-07,Eric L. Adams,21033,0.3019249816976013
2025-04-07,Zohran Kwame Mamdani,23637,0.33930493949442314
2025-04-14,Andrew M. Cuomo,24033,0.3081706973046444
2025-04-14,Curtis A. Sliwa,4247,0.054458492549944865
2025-04-14,Eric L. Adams,20432,0.26199574282563537
2025-04-14,Zohran Kwame Mamdani,29274,0.3753750673197753
2025-04-21,Andrew M. Cuomo,21735,0.3544462745225942
2025-04-21,Curtis A. Sliwa,3699,0.06032191255850361
2025-04-21,Eric L. Adams,13697,0.22336556807618924
2025-04-21,Zohran Kwame Mamdani,22190,0.36186624484271296
2025-04-28,Andrew M. Cuomo,17267,0.33534666925616624
2025-04-28,Curtis A. Sliwa,3446,0.06692561662458729
2025-04-28,Eric L. Adams,10885,0.2114002718974558
2025-04-28,Zohran Kwame Mamdani,19892,0.38632744222179066
2025-05-05,Andrew M. Cuomo,18753,0.2664951896431667
2025-05-05,Curtis A. Sliwa,4715,0.06700393639244553
2025-05-05,Eric L. Adams,12305,0.1748639315607725
2025-05-05,Zohran Kwame Mamdani,34596,0.4916369424036152
2025-05-12,Andrew M. Cuomo,25920,0.27249789739276703
2025-05-12,Curtis A. Sliwa,4825,0.05072539949537427
2025-05-12,Eric L. Adams,14242,0.14972666105971405
2025-05-12,Zohran Kwame Mamdani,50133,0.5270500420521447
2025-05-19,Andrew M. Cuomo,30833,0.33542933606031267
2025-05-19,Curtis A. Sliwa,5002,0.05441629225095462
2025-05-19,Eric L. Adams,14147,0.15390389573655638
2025-05-19,Zohran Kwame Mamdani,41939,0.4562504759521763
2025-05-26,Andrew M. Cuomo,29281,0.1987685999782774
2025-05-26,Curtis A. Sliwa,12433,0.08439909851200174
2025-05-26,Eric L. Adams,17057,0.11578825893342022
2025-05-26,Zohran Kwame Mamdani,88541,0.6010440425763006
2025-06-02,Andrew M. Cuomo,70161,0.15524646352446048
2025-06-02,Curtis A. Sliwa,24668,0.054583312128125186
2025-06-02,Eric L. Adams,29742,0.06581064007275415
2025-06-02,Zohran Kwame Mamdani,327362,0.7243595842746602
2025-06-09,Andrew M. Cuomo,115079,0.17371096827950983
2025-06-09,Curtis A. Sliwa,32325,0.04879436777896189
2025-06-09,Eric L. Adams,46256,0.0698231175865015
2025-06-09,Zohran Kwame Mamdani,468814,0.7076715463550267
2025-06-16,Andrew M. Cuomo,113355,0.15921495810169645
2025-06-16,Curtis A. Sliwa,37260,0.052334253794444084
2025-06-16,Eric L. Adams,49610,0.06968068520510926
2025-06-16,Zohran Kwame Mamdani,511737,0.7187701028987502
2025-06-23,Andrew M. Cuomo,498601,0.08155209051642356
2025-06-23,Curtis A. Sliwa,398766,0.0652228955153964
2025-06-23,Eric L. Adams,386252,0.06317608281200728
2025-06-23,Zohran Kwame Mamdani,4830277,0.7900489311561728
2025-06-30,Andrew M. Cuomo,84953,0.05939319704491701
2025-06-30,Curtis A. Sliwa,89447,0.06253508759051113
2025-06-30,Eric L. Adams,90542,0.0633006350198448
2025-06-30,Zohran Kwame Mamdani,1165407,0.814771080344727
2025-07-07,Andrew M. Cuomo,41989,0.08131525079738872
2025-07-07,Curtis A. Sliwa,44951,0.0870514143845631
2025-07-07,Eric L. Adams,45590,0.08828889194438903
2025-07-07,Zohran Kwame Mamdani,383843,0.7433444428736592
2025-07-14,Andrew M. Cuomo,62535,0.14052366891828122
2025-07-14,Curtis A. Sliwa,75503,0.1696643251672981
2025-07-14,Eric L. Adams,35222,0.07914807174605742
2025-07-14,Zohran Kwame Mamdani,271754,0.6106639341683633
2025-07-21,Andrew M. Cuomo,28678,0.11661895312144181
2025-07-21,Curtis A. Sliwa,35191,0.14310403721656528
2025-07-21,Eric L. Adams,23530,0.09568463515403884
2025-07-21,Zohran Kwame Mamdani,158513,0.644592374507954
2025-07-28,Andrew M. Cuomo,25407,0.10555507085613151
2025-07-28,Curtis A. Sliwa,37306,0.15499025754157683
2025-07-28,Eric L. Adams,32525,0.13512727514447506
2025-07-28,Zohran Kwame Mamdani,145461,0.6043273964578166
2025-08-04,Andrew M. Cuomo,45672,0.20579461992520165
2025-08-04,Curtis A. Sliwa,26579,0.1197629883296535
2025-08-04,Eric L. Adams,20175,0.09090704276123102
2025-08-04,Zohran Kwame Mamdani,129504,0.5835353489839138
2025-08-11,Andrew M. Cuomo,36216,0.148424404617976
2025-08-11,Curtis A. Sliwa,34618,0.1418753048118261
2025-08-11,Eric L. Adams,23061,0.09451113305983942
2025-08-11,Zohran Kwame Mamdani,150108,0.6151891575103585
2025-08-18,Andrew M. Cuomo,29844,0.16349741145533733
2025-08-18,Curtis A. Sliwa,25864,0.14169337387350373
2025-08-18,Eric L. Adams,25174,0.13791327690579888
2025-08-18,Zohran Kwame Mamdani,101653,0.5568959377653601
2025-08-25,Andrew M. Cuomo,25304,0.14590324626650522
2025-08-25,Curtis A. Sliwa,29924,0.17254223606065847
2025-08-25,Eric L. Adams,21003,0.12110361529147207
2025-08-25,Zohran Kwame Mamdani,97199,0.5604509023813642
2025-09-01,Andrew M. Cuomo,35531,0.14791024893847307
2025-09-01,Curtis A. Sliwa,42604,0.17735409208225794
2025-09-01,Eric L. Adams,34228,0.1424860544500874
2025-09-01,Zohran Kwame Mamdani,127857,0.5322496045291816
2025-09-08,Andrew M. Cuomo,30494,0.12010192949220365
2025-09-08,Curtis A. Sliwa,37703,0.14849488580194642
2025-09-08,Eric L. Adams,22287,0.08777830729300003
2025-09-08,Zohran Kwame Mamdani,163417,0.6436248774128499
2025-09-15,Andrew M. Cuomo,25746,0.12141762361762834
2025-09-15,Curtis A. Sliwa,28608,0.13491475865971844
2025-09-15,Eric L. Adams,20027,0.09444693343394091
2025-09-15,Zohran Kwame Mamdani,137664,0.6492206842887123
2025-09-22,Andrew M. Cuomo,33816,0.121315180541355
2025-09-22,Curtis A. Sliwa,55142,0.19782238246425946
2025-09-22,Eric L. Adams,45947,0.16483524368150101
2025-09-22,Zohran Kwame Mamdani,143840,0.5160271933128845
2025-09-29,Andrew M. Cuomo,49145,0.11482905903024412
2025-09-29,Curtis A. Sliwa,92690,0.21657351676698194
2025-09-29,Eric L. Adams,59663,0.13940474410258327
2025-09-29,Zohran Kwame Mamdani,226486,0.5291926801001907
2025-10-06,Andrew M. Cuomo,43321,0.1537868971760237
2025-10-06,Curtis A. Sliwa,55408,0.19669500701112905
2025-10-06,Eric L. Adams,24992,0.08872006957879977
2025-10-06,Zohran Kwame Mamdani,157974,0.5607980262340475
2025-10-13,Andrew M. Cuomo,120323,0.1280218499930309
2025-10-13,Curtis A. Sliwa,334596,0.3560050773357394
2025-10-13,Eric L. Adams,39286,0.041799709106539996
2025-10-13,Zohran Kwame Mamdani,445658,0.47417336356468975
2025-10-20,Andrew M. Cuomo,208573,0.15040407398300054
2025-10-20,Curtis A. Sliwa,469548,0.3385957536717118
2025-10-20,Eric L. Adams,66741,0.04812760185498334
2025-10-20,Zohran Kwame Mamdani,641889,0.46287257049030434
2025-10-27,Andrew M. Cuomo,171850,0.12059217529758584
2025-10-27,Curtis A. Sliwa,307396,0.21570877112468256
2025-10-27,Eric L. Adams,63472,0.04454016031706935
2025-10-27,Zohran Kwame Mamdani,882333,0.6191588932606622
2025-11-03,Andrew M. Cuomo,220542,0.16161813061387806
2025-11-03,Curtis A. Sliwa,282469,0.20699962699336868
2025-11-03,Eric L. Adams,58491,0.04286351841253068
2025-11-03,Zohran Kwame Mamdani,803085,0.5885187239802225
