week_start,canonical_name,media_type,spend_context,spend
2024-11-11,Jim Walden,print,candidate,42014.0
2025-03-10,Andrew M. Cuomo,digital_video,support,132007.78
2025-04-07,Andrew M. Cuomo,television,support,2279181.3
2025-04-07,Curtis A. Sliwa,print,candidate,650.0
2025-04-14,Curtis A. Sliwa,digital,candidate,37.0
2025-04-21,Zohran Kwame Mamdani,television,candidate,155000.0
2025-04-28,Andrew M. Cuomo,television,support,756994.33
2025-04-28,Curtis A. Sliwa,digital,candidate,475.0
2025-04-28,Zohran Kwame Mamdani,digital_display,support,134.41
2025-04-28,Zohran Kwame Mamdani,television,candidate,186000.0
2025-05-05,Andrew M. Cuomo,print,candidate,15902.75
2025-05-05,Curtis A. Sliwa,digital,candidate,638.0
2025-05-05,Zohran Kwame Mamdani,television,candidate,333690.0
2025-05-12,Andrew M. Cuomo,digital_video,support,314296.78
2025-05-12,Andrew M. Cuomo,television,candidate,172500.0
2025-05-12,Andrew M. Cuomo,television,support,3158926.09
2025-05-12,Curtis A. Sliwa,print,candidate,1150.0
2025-05-12,Zohran Kwame Mamdani,digital_display,support,815.65
2025-05-12,Zohran Kwame Mamdani,television,candidate,700000.0
2025-05-19,Andrew M. Cuomo,digital,candidate,17450.0
2025-05-19,Andrew M. Cuomo,print,candidate,6786.709999999999
2025-05-19,Andrew M. Cuomo,print,support,1995.0
2025-05-19,Andrew M. Cuomo,television,candidate,172500.0
2025-05-19,Zohran Kwame Mamdani,television,candidate,890000.0
2025-05-26,Andrew M. Cuomo,digital_display,oppose,550.98
2025-05-26,Andrew M. Cuomo,print,candidate,1061.53
2025-05-26,Andrew M. Cuomo,television,candidate,562627.0
2025-05-26,Curtis A. Sliwa,print,candidate,2176.96
2025-05-26,Zohran Kwame Mamdani,digital_display,support,1925.66
2025-05-26,Zohran Kwame Mamdani,television,candidate,330000.0
2025-06-02,Andrew M. Cuomo,billboard,support,3000.0
2025-06-02,Andrew M. Cuomo,digital,candidate,143421.8
2025-06-02,Andrew M. Cuomo,digital_video,support,565000.0
2025-06-02,Andrew M. Cuomo,print,candidate,5691.16
2025-06-02,Andrew M. Cuomo,television,support,1015170.0
2025-06-02,Zohran Kwame Mamdani,digital_display,support,1050.6100000000001
2025-06-02,Zohran Kwame Mamdani,digital_video,oppose,15000.0
2025-06-02,Zohran Kwame Mamdani,television,candidate,630000.0
2025-06-09,Andrew M. Cuomo,audio,support,900.0
2025-06-09,Andrew M. Cuomo,digital,candidate,170203.66
2025-06-09,Andrew M. Cuomo,digital_display,oppose,218.36
2025-06-09,Andrew M. Cuomo,digital_display,support,169955.0
2025-06-09,Andrew M. Cuomo,digital_video,oppose,149500.0
2025-06-09,Andrew M. Cuomo,print,candidate,145241.86
2025-06-09,Andrew M. Cuomo,print,support,45520.91
2025-06-09,Andrew M. Cuomo,television,candidate,1439475.0
2025-06-09,Andrew M. Cuomo,television,support,2300000.0
2025-06-09,Zohran Kwame Mamdani,digital_display,support,1653.99
2025-06-09,Zohran Kwame Mamdani,digital_video,oppose,86524.16
2025-06-09,Zohran Kwame Mamdani,digital_video,support,131500.0
2025-06-09,Zohran Kwame Mamdani,television,candidate,827150.0
2025-06-09,Zohran Kwame Mamdani,television,oppose,5750971.0600000005
2025-06-16,Andrew M. Cuomo,audio,support,124000.0
2025-06-16,Andrew M. Cuomo,billboard,oppose,2500.0
2025-06-16,Andrew M. Cuomo,billboard,support,132500.0
2025-06-16,Andrew M. Cuomo,digital,candidate,221572.2
2025-06-16,Andrew M. Cuomo,digital_display,oppose,2287.71
2025-06-16,Andrew M. Cuomo,digital_display,support,616632.9
2025-06-16,Andrew M. Cuomo,digital_video,oppose,51399.54
2025-06-16,Andrew M. Cuomo,digital_video,support,778341.33
2025-06-16,Andrew M. Cuomo,print,candidate,63855.69
2025-06-16,Andrew M. Cuomo,print,support,117161.0
2025-06-16,Andrew M. Cuomo,television,oppose,500000.0
2025-06-16,Andrew M. Cuomo,television,support,160000.0
2025-06-16,Zohran Kwame Mamdani,billboard,support,2500.0
2025-06-16,Zohran Kwame Mamdani,digital_display,oppose,79166.66
2025-06-16,Zohran Kwame Mamdani,digital_display,support,32492.62
2025-06-16,Zohran Kwame Mamdani,digital_video,oppose,18500.0
2025-06-16,Zohran Kwame Mamdani,digital_video,support,195000.0
2025-06-16,Zohran Kwame Mamdani,print,oppose,16666.0
2025-06-16,Zohran Kwame Mamdani,television,candidate,785000.0
2025-06-16,Zohran Kwame Mamdani,television,oppose,1550000.0
2025-06-16,Zohran Kwame Mamdani,television,support,275000.0
2025-06-23,Andrew M. Cuomo,audio,support,255000.0
2025-06-23,Andrew M. Cuomo,digital,candidate,14000.0
2025-06-23,Andrew M. Cuomo,digital_display,support,22350.0
2025-06-23,Andrew M. Cuomo,digital_video,oppose,11642.880000000001
2025-06-23,Andrew M. Cuomo,print,candidate,39145.5
