ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,6273,Multiple Candidate Social Media Ads,6/17/2025,INTAD,Internet - Display/Banner,237500,1164,"Lander, Brad",1,,79166.6800,Oppose
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,6273,Multiple Candidate Social Media Ads,6/17/2025,INTAD,Internet - Display/Banner,237500,2899,"Mamdani, Zohran K",1,,79166.6600,Oppose
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,6273,Multiple Candidate Social Media Ads,6/17/2025,INTAD,Internet - Display/Banner,237500,148,"Stringer, Scott M",1,,79166.6600,Oppose
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,5753,Multiple Candidates TV Ad,6/9/2025,TVADS,Video (TV/Cable),1084100,1164,"Lander, Brad",1,,361366.6800,Oppose
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,5753,Multiple Candidates TV Ad,6/9/2025,TVADS,Video (TV/Cable),1084100,2899,"Mamdani, Zohran K",1,,361366.6600,Oppose
2025,Z194,Affordable New York,OTHR,2350,Kerner Boulevard,250,San Rafael,CA,94901,PD,5753,Multiple Candidates TV Ad,6/9/2025,TVADS,Video (TV/Cable),1084100,148,"Stringer, Scott M",1,,361366.6600,Oppose
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,41,7151,Bo at Library,10/17/2025,INTVID,Video (Internet),15132,2899,"Mamdani, Zohran K",1,,15132.0000,Oppose
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,39,7026,Bo in Bronx,9/29/2025,INTVID,Video (Internet),700,2899,"Mamdani, Zohran K",1,,700.0000,Oppose
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,38,6993,Bo in Harlem,9/26/2025,INTVID,Video (Internet),700,2899,"Mamdani, Zohran K",1,,700.0000,Oppose
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,41,7150,Bo in Office,10/17/2025,INTVID,Video (Internet),15082,2899,"Mamdani, Zohran K",1,,15082.3200,Oppose
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,35,6922,Video on Queensbridge Development,9/2/2025,INTVID,Video (Internet),500,2899,"Mamdani, Zohran K",1,,500.0000,Oppose
2025,Z229,Anyone But Mamdani,OTHR,489,Fifth Ave,FL16,New York,NY,10017,32,6853,Website,8/12/2025,WEB,Website,4470,2899,"Mamdani, Zohran K",1,,4470.0000,Oppose
2025,Z169,Committee for Sensible Government,OTHR,5907,5907 175th Place,STE PH,fresh meadows,NY,11365,PD,6477,30 second video opposing Mamdani,6/20/2025,INTVID,Video (Internet),16500,2899,"Mamdani, Zohran K",1,,16500.0000,Oppose
2025,Z217,Competent New York,OTHR,1900,L St NW Ste 800,,Washington,DC,20036,23,5711,Best of the Boroughs - Digital Video,6/7/2025,INTVID,Video (Internet),374200,2063,"Adams, Adrienne E",1,,374200.0000,Support
