ELECTION,SPENDERID,SPENDER_NAME,COMM_ID,COMM_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,EXP_ID,EXP_DATE,EXP_PURPOSECD,EXP_PURPOSE,EXP_AMNT,VENDOR_NAME,VENDOR_CITY,VENDOR_STATE,VENDOR_ZIP,PAYMENT_DATE,PAYMENT_AMNT,PAYMENT_BY_NAME,PAYMENT_BY_ID
2025,Z194,Affordable New York,6273,Multiple Candidate Social Media Ads,6/17/2025,INTAD,Internet - Display/Banner,237500,10775,6/17/2025,ADBUY,Advertising Buy/Placement,100000.00,Manhattan Strategies LLC,New York,NY,10017,6/18/2025,100000.00,Independent Spender,0
2025,Z194,Affordable New York,6273,Multiple Candidate Social Media Ads,6/17/2025,INTAD,Internet - Display/Banner,237500,11138,6/21/2025,ADBUY,Advertising Buy/Placement,100000.00,Manhattan Strategies LLC,New York,NY,10017,6/21/2025,100000.00,Independent Spender,0
2025,Z194,Affordable New York,6273,Multiple Candidate Social Media Ads,6/17/2025,INTAD,Internet - Display/Banner,237500,11139,6/21/2025,ADBUY,Advertising Buy/Placement,37500.00,Manhattan Strategies LLC,New York,NY,10017,6/21/2025,37500.00,Independent Spender,0
2025,Z194,Affordable New York,5753,Multiple Candidates TV Ad,6/9/2025,TVADS,Video (TV/Cable),1084100,9973,6/9/2025,DESIGN,Design / Graphics / Photography,10000.00,"CLOVERDALE, Inc.",New York,NY,10001,6/9/2025,10000.00,Independent Spender,0
2025,Z194,Affordable New York,5753,Multiple Candidates TV Ad,6/9/2025,TVADS,Video (TV/Cable),1084100,9974,6/9/2025,ADPROD,Advertising Production,36600.00,"CLOVERDALE, Inc.",New York,NY,10001,6/9/2025,36600.00,Independent Spender,0
2025,Z194,Affordable New York,5753,Multiple Candidates TV Ad,6/9/2025,TVADS,Video (TV/Cable),1084100,11137,6/21/2025,ADBUY,Advertising Buy/Placement,37500.00,Manhattan Strategies LLC,New York,NY,10017,6/21/2025,37500.00,Independent Spender,0
2025,Z194,Affordable New York,5753,Multiple Candidates TV Ad,6/9/2025,TVADS,Video (TV/Cable),1084100,9972,6/9/2025,ADBUY,Advertising Buy/Placement,1000000.00,"Shule Media & Marketing, Inc.",Arlington,VA,22201,6/9/2025,1000000.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,7151,Bo at Library,10/17/2025,INTVID,Video (Internet),15132,12556,10/17/2025,ADBUY,Advertising Buy/Placement,5000.00,Blockboard,New York,NY,10036,10/21/2025,5000.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,7151,Bo at Library,10/17/2025,INTVID,Video (Internet),15132,12974,10/24/2025,ADBUY,Advertising Buy/Placement,5000.00,Blockboard,New York,NY,10036,,0.00,,0
2025,Z229,Anyone But Mamdani,7151,Bo at Library,10/17/2025,INTVID,Video (Internet),15132,12553,10/23/2025,ADBUY,Advertising Buy/Placement,132.00,"Meta Platforms, Inc",Menlo Park,CA,94025,10/23/2025,132.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,7151,Bo at Library,10/17/2025,INTVID,Video (Internet),15132,12278,10/17/2025,ADBUY,Advertising Buy/Placement,5000.00,Pixaura Digital LLC,Cleveland,OH,44193,,0.00,,0
2025,Z229,Anyone But Mamdani,7026,Bo in Bronx,9/29/2025,INTVID,Video (Internet),700,12113,9/29/2025,ADPROD,Advertising Production,700.00,LiveONETV Video Field Services`,Astoria,NY,11102,9/29/2025,350.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,7026,Bo in Bronx,9/29/2025,INTVID,Video (Internet),700,12113,9/29/2025,ADPROD,Advertising Production,700.00,LiveONETV Video Field Services`,Astoria,NY,11102,10/2/2025,350.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,6993,Bo in Harlem,9/26/2025,INTVID,Video (Internet),700,12067,9/23/2025,ADPROD,Advertising Production,700.00,LiveONETV Video Field Services`,Astoria,NY,11102,9/23/2025,350.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,7150,Bo in Office,10/17/2025,INTVID,Video (Internet),15082,12555,10/17/2025,ADBUY,Advertising Buy/Placement,5000.00,Blockboard,New York,NY,10036,10/21/2025,5000.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,7150,Bo in Office,10/17/2025,INTVID,Video (Internet),15082,12973,10/24/2025,ADBUY,Advertising Buy/Placement,5000.00,Blockboard,New York,NY,10036,,0.00,,0
2025,Z229,Anyone But Mamdani,7150,Bo in Office,10/17/2025,INTVID,Video (Internet),15082,12554,10/20/2025,ADBUY,Advertising Buy/Placement,1083.32,"Meta Platforms, Inc",Menlo Park,CA,94025,10/20/2025,1083.32,Independent Spender,0
2025,Z229,Anyone But Mamdani,7150,Bo in Office,10/17/2025,INTVID,Video (Internet),15082,12964,10/5/2025,ADBUY,Advertising Buy/Placement,699.00,"Meta Platforms, Inc",Menlo Park,CA,94025,,0.00,,0
2025,Z229,Anyone But Mamdani,7150,Bo in Office,10/17/2025,INTVID,Video (Internet),15082,12276,10/17/2025,ADPROD,Advertising Production,3300.00,Pixaura Digital LLC,Cleveland,OH,44193,,0.00,,0
2025,Z229,Anyone But Mamdani,6922,Video on Queensbridge Development,9/2/2025,INTVID,Video (Internet),500,11964,9/4/2025,ADPROD,Advertising Production,500.00,LiveONETV Video Field Services`,Astoria,NY,11102,9/4/2025,500.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,6853,Website,8/12/2025,WEB,Website,4470,11852,8/12/2025,DESIGN,Design / Graphics / Photography,4470.00,Visualqube LLC,South Jordan,UT,84009,8/12/2025,1250.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,6853,Website,8/12/2025,WEB,Website,4470,11852,8/12/2025,DESIGN,Design / Graphics / Photography,4470.00,Visualqube LLC,South Jordan,UT,84009,8/18/2025,1500.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,6853,Website,8/12/2025,WEB,Website,4470,11852,8/12/2025,DESIGN,Design / Graphics / Photography,4470.00,Visualqube LLC,South Jordan,UT,84009,8/19/2025,1500.00,Independent Spender,0
2025,Z229,Anyone But Mamdani,6853,Website,8/12/2025,WEB,Website,4470,11852,8/12/2025,DESIGN,Design / Graphics / Photography,4470.00,Visualqube LLC,South Jordan,UT,84009,9/2/2025,220.00,Independent Spender,0
2025,Z169,Committee for Sensible Government,6477,30 second video opposing Mamdani,6/20/2025,INTVID,Video (Internet),16500,11092,6/16/2025,ADPROD,Advertising Production,16500.00,CROSSLAND LOGISTICS LLC,NEW YORK,,10025,6/16/2025,16500.00,Independent Spender,0
2025,Z217,Competent New York,5711,Best of the Boroughs - Digital Video,6/7/2025,INTVID,Video (Internet),374200,9917,6/7/2025,ADPROD,Advertising Production,10000.00,Red Horse Strategies,Brookliyn,NY,11201,,0.00,,0
2025,Z217,Competent New York,5711,Best of the Boroughs - Digital Video,6/7/2025,INTVID,Video (Internet),374200,9922,6/7/2025,ADBUY,Advertising Buy/Placement,141000.00,Red Horse Strategies,Brookliyn,NY,11201,,0.00,,0
2025,Z217,Competent New York,5711,Best of the Boroughs - Digital Video,6/7/2025,INTVID,Video (Internet),374200,10757,6/17/2025,ADBUY,Advertising Buy/Placement,208200.00,Red Horse Strategies,Brookliyn,NY,11201,6/23/2025,208200.00,Independent Spender,0
2025,Z217,Competent New York,5711,Best of the Boroughs - Digital Video,6/7/2025,INTVID,Video (Internet),374200,10975,6/19/2025,ADBUY,Advertising Buy/Placement,15000.00,Red Horse Strategies,Brookliyn,NY,11201,6/23/2025,15000.00,Independent Spender,0
2025,Z217,Competent New York,5719,Order My Steps - Radio Advertisement,6/7/2025,RADIO,Audio > 30 seconds,135800,9926,6/7/2025,ADPROD,Advertising Production,5000.00,Red Horse Strategies,Brookliyn,NY,11201,,0.00,,0
2025,Z217,Competent New York,5719,Order My Steps - Radio Advertisement,6/7/2025,RADIO,Audio > 30 seconds,135800,9929,6/7/2025,ADBUY,Advertising Buy/Placement,130800.00,Red Horse Strategies,Brookliyn,NY,11201,,0.00,,0
2025,Z234,Counter Coalition Action,6869,Fundraising Text Blast,8/19/2025,TEXT,Text Messages,386,11871,8/19/2025,TEXT,Text Messages,385.94,Switchboard,Washington,DC,20033,,0.00,,0
2025,Z234,Counter Coalition Action,6870,Relatinoal Organizing Training,8/22/2025,OTHER,Other,1000,11872,8/22/2025,PHONE,Phone Bank,1000.00,Relational Future,Sugar Land,TX,77478,8/22/2025,1000.00,Independent Spender,0
2025,Z239,Defend and Advance - NY I.E.,6976,Canvassing for Zohran,9/27/2025,LITER,Leaflet/Flyer,949,12127,10/7/2025,PRNT,Printing,948.77,Atlas Direct Mail,Westbury,NY,11590,,0.00,,0
2025,Z239,Defend and Advance - NY I.E.,7420,Mobile Billboard for Zohran,11/1/2025,OTHER,Other,16068,12805,11/1/2025,ADBUY,Advertising Buy/Placement,16068.00,Billboard4Hire Media,Scotch Plains,NJ,07076,11/1/2025,16068.00,Independent Spender,0
2025,Z239,Defend and Advance - NY I.E.,7148,Muslims for Zohran T-Shirts and Totes,10/19/2025,BUTTON,Button / Pen / Shirt,5422,12274,10/20/2025,PRNT,Printing,5422.09,Mark Weiss Associates,Bethesda,MD,20814,10/20/2025,5422.09,Independent Spender,0
2025,Z239,Defend and Advance - NY I.E.,7042,Phone Bank Script for Zohran Mamdani,10/7/2025,PHONE,Phone Calls - Live,4609,12887,10/7/2025,PHONE,Phone Bank,2304.30,Scale to Win,Santa Ana,CA,92730,,0.00,,0
2025,Z239,Defend and Advance - NY I.E.,7042,Phone Bank Script for Zohran Mamdani,10/7/2025,PHONE,Phone Calls - Live,4609,13001,10/7/2025,PHONE,Phone Bank,2304.30,Scale to Win,Santa Ana,CA,92730,11/14/2025,2304.30,Independent Spender,0
2025,Z239,Defend and Advance - NY I.E.,7044,Phone Bank Script for Zohran Mamdani,10/23/2025,PHONE,Phone Calls - Live,1387,12889,10/26/2025,PHONE,Phone Bank,248.12,Scale to Win,Santa Ana,CA,92730,11/14/2025,248.12,Independent Spender,0
2025,Z239,Defend and Advance - NY I.E.,7044,Phone Bank Script for Zohran Mamdani,10/23/2025,PHONE,Phone Calls - Live,1387,13002,10/23/2025,PHONE,Phone Bank,506.49,Scale to Win,Santa Ana,CA,92730,11/14/2025,506.49,Independent Spender,0
2025,Z239,Defend and Advance - NY I.E.,7044,Phone Bank Script for Zohran Mamdani,10/23/2025,PHONE,Phone Calls - Live,1387,13024,11/4/2025,PHONE,Phone Bank,632.83,Scale to Win,Santa Ana,CA,92730,11/14/2025,632.83,Independent Spender,0
2025,Z239,Defend and Advance - NY I.E.,7043,Social Media Content,10/7/2025,INTAD,Internet - Display/Banner,2750,12131,10/6/2025,ADBUY,Advertising Buy/Placement,2750.00,Blue Print Interactive,Washington D.C.,DC,20036,10/6/2025,2750.00,Independent Spender,0
